,Next,Standard,294,Virtual,1,Total Errors,1,,,Manca l'ASIN,Inviato ad Amazon,,Inviato all'assistenza,,,,,
,box,Temporary,16,,,,,,,Manca lo SKU,In waiting,,Scartato,#REF!,,,,
,Box,Box Type,Picked,Shipped,LPN,Brand,Additional Info,Other Info,Product Description,Destination,Verification Request,State (Amz),Reason (Amz),Customer Notes,ASIN,SKU,FNSKU,Notes
,261,Standard,05/07/2024,25/09/2024,LPNHL961008757,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,New inventory,,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,,B01MDS5VHF,EH-YV7R-N7ME,B01MDS5VHF,
,261,Standard,05/07/2024,25/09/2024,LPNHK110375000,Dinobike,,,Dino Bikes - 12 Zoll Kinderfahrrad Peppa Wutz Pig - Mädchen Fahrrad mit abnehmbaren Stützrädern ab 2 Jahren - Kinderrad mit Frontkorb & Puppenträger - verstellbare Sattel- & Lenkerhöhe (Pink),New inventory,,CUSTOMER_DAMAGED,DEFECTIVE,,B0BQYYY6B2,5I-AY4T-LUOW,X001YKD4FL,
,261,Standard,05/07/2024,25/09/2024,LPNHK109770387,Dinobike,,,"Dino Bikes- Vélo, 124 RL-Un, Multicolore",New inventory,,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,,B07NFLS6JY,I2-I8V2-D1LO,X001XUWM9L,
,261,Standard,05/07/2024,25/09/2024,LPNHL960782019,Dinobike,,,Dino Bikes - 12 Zoll Kinderfahrrad Peppa Wutz Pig - Mädchen Fahrrad mit abnehmbaren Stützrädern ab 2 Jahren - Kinderrad mit Frontkorb & Puppenträger - verstellbare Sattel- & Lenkerhöhe (Pink),New inventory,,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,,B0BQYYY6B2,5I-AY4T-LUOW,X001YKD4FL,
,3,Virtual,15/07/2024,,LPNHE827994076,Soundmaster,,,"Soundmaster DAB60WE - Radio Da Doccia, Radio Da Piscina, Radio Portatile con DAB+/FM-RDS, Cassa Bluetooth Doccia, 20 Stazioni Preimpostate, Funzione Vivavoce, Rilevatore di Movimento",Dispose,,DEFECTIVE,DEFECTIVE,Prodotto è stato aperto. È rotto. Puzza. È sporco. Manca di pezzi niente cordino anello etc. E non prende alcuna radio. Vergognoso. Sin vede che è articolo rientrato. Non va buttatelo,B09779BFMM,OC-7PYA-CBVM,X001V60JSN,
,228,Standard,15/07/2024,15/07/2024,LPNHE815964861,Blaupunkt,,,"BLAUPUNKT 2001018000000 Bremen SQR 46 DAB, zwart",Dispose,,DEFECTIVE,DEFECTIVE,"I got sent a CLEARLY open boxed item and the device does not function. Neither does it in a second car, while both radios interchangeable work in each other. I probably got sent another mans problem",B07XVMBKW4,54-WBX6-EMB8,X001YY5D0L,
,2,Virtual,15/07/2024,,LPNHK237238321,Soundmaster,,,Soundmaster UR2045SI DAB+ und UKW-RDS Küchenunterbauradio mit Bluetooth,Dispose,,DEFECTIVE,QUALITY_UNACCEPTABLE,"Ich komme mit den Funktionen überhaupt nicht zurecht, bekomme nicht die gewünschten Sender, setup-Funktion kriege ich nicht hin, zurück auf Werkseinstellungen auch nicht",B07TBTJYST,9G-DT10-4LH4,X001Y51OB7,
,2,Virtual,15/07/2024,,LPNHE831477548,Storz & Bickel,,,CRAFTY+ Vaprizzatore (2021),Dispose,,CUSTOMER_DAMAGED,DEFECTIVE,,B09M8XNPT2,ZU-N8CZ-8BYL,X001Z6J5CZ,
,228,Standard,15/07/2024,15/07/2024,LPNHE837420994,Storz & Bickel,,,CRAFTY+ Vaporizer (2021),Dispose,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B09M8XNPT2,ZU-N8CZ-8BYL,X001Z6J5CZ,
,3,Virtual,15/07/2024,,LPNHE831497482,Storz & Bickel,,,"Storz & Bickel Mighty +, Mighty Plus, ultima edizione 2021/2022 con Supercharge, USB C, più potente che mai!",Dispose,,DEFECTIVE,QUALITY_UNACCEPTABLE,Il vaporizzatore non emette vapore sufficiente neppure ad alta temperatura,B09L9VYZHC,SG-M52D-69L1,X001WJ2315,
